text,label
"Hey John, attached is the Q3 financial report. Let me know if you have questions.",0
"URGENT: Your bank account is locked. Click here to verify your password http://malicious-link.com",1
"Let's grab lunch tomorrow at 12 at the usual place.",0
"Immediate action required! Update your login credentials now or your account will be suspended.",1
"Hi team, just a reminder about the all-hands meeting tomorrow at 10 AM.",0
"Dear customer, you have won a $1000 gift card! Click here to claim your prize.",1
"Can you please review the attached invoice and process the payment by Friday?",0
"SECURITY ALERT: We detected unauthorized login attempts. Verify your identity immediately.",1
"Thanks for the update. I will review the document and get back to you.",0
"Your package delivery failed. Click the link to reschedule and pay the pending fee.",1
"Are we still on for the project kickoff call this afternoon?",0
"Final notice: Your invoice #9812 is overdue. Pay immediately to avoid legal action.",1
